Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1423452,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,IL,60030,Web,6/16/2015,6/16/2015,Stellar Recovery Inc.,Closed with explanation,Yes,
1423418,Payday loan,,Charged fees or interest I didn't expect,,WA,98203,Web,6/16/2015,6/18/2015,"Monterey Financial Services, Inc.",Closed with explanation,Yes,
1423389,Bank account or service,Checking account,"Account opening, closing, or management",,CA,95860,Web,6/16/2015,6/16/2015,U.S. Bancorp,Closed with explanation,Yes,Yes
1423414,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,FL,33014,Web,6/16/2015,6/16/2015,"Premium Asset Services, LLC",In progress,Yes,
1423408,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,VA,24521,Web,6/16/2015,6/16/2015,"CHS, Inc.",Closed with explanation,Yes,
1423427,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,MD,20912,Web,6/16/2015,6/16/2015,Equifax,Closed with non-monetary relief,Yes,
1423503,Credit reporting,,Incorrect information on credit report,Personal information,GA,31605,Web,6/16/2015,6/16/2015,Equifax,Closed with explanation,Yes,
1423597,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,NM,88012,Web,6/16/2015,6/16/2015,Transworld Systems Inc.,In progress,Yes,
1423502,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,FL,33149,Web,6/16/2015,6/16/2015,Transworld Systems Inc.,Closed with explanation,Yes,
1423501,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,TX,79912,Web,6/16/2015,6/16/2015,"Synerprise Consulting Services, Inc.",Closed with explanation,Yes,
1423592,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,CA,92780,Web,6/16/2015,6/18/2015,Amex,Closed with explanation,Yes,
